EnhetNivaa;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Nasjonalt;Fylke;EnhetNavn;Utdanningsprogram;Trinn;År;Progresjon totalt;Overgang til studieforberedende utdanningsprogram;Overgang til opplæring i bedrift;Overgang til yrkesfaglig utdanningsprogram
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg1;2020;93,8;93,3;0,1;0,4
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg1;2020;92,9;92,6;0,1;0,3
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg1;2020;90,6;90,6;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg1;2020;94,7;94,2;0;0,5
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg1;2020;89,1;89,1;0;0
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg1;2020;92,7;92,7;0;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg1;2020;89,3;89,3;0;0
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg1;2020;96,1;96,1;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg1;2020;97,4;97,4;0;0
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Studieforberedende;Vg1;2020;95,6;95,6;0;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Studieforberedende;Vg1;2020;92,1;91,6;0;0,5
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Studieforberedende;Vg1;2020;77,8;77,8;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Studieforberedende;Vg1;2020;95,2;95,2;0;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Studieforberedende;Vg1;2020;97,3;97,3;0;0
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Studieforberedende;Vg1;2020;95,7;95,7;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg1;2021;92,5;92;0,1;0,4
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg1;2021;92,5;91,5;0,3;0,7
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg1;2021;100;100;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg1;2021;95,3;94,8;0;0,5
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg1;2021;96,3;85,2;0;11,1
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg1;2021;92,2;92,2;0;0
3;I;38;974575051;Hele landet;Vestfold og Telemark;Melsom videregående skole;Studieforberedende;Vg1;2021;69,7;63,6;6,1;0
3;I;38;974575000;Hele landet;Vestfold og Telemark;Nøtterøy videregående skole;Studieforberedende;Vg1;2021;93,2;93,2;0;0
3;I;38;874575232;Hele landet;Vestfold og Telemark;Re videregående skole;Studieforberedende;Vg1;2021;95,3;94,1;0;1,2
3;I;38;974575116;Hele landet;Vestfold og Telemark;Sande videregående skole;Studieforberedende;Vg1;2021;90;86,3;3,8;0
3;I;38;974575019;Hele landet;Vestfold og Telemark;Sandefjord videregående skole;Studieforberedende;Vg1;2021;91;89,8;0;1,2
3;I;38;973488783;Hele landet;Vestfold og Telemark;Skagerak International School;Studieforberedende;Vg1;2021;81;81;0;0
3;I;38;973141805;Hele landet;Vestfold og Telemark;Slottsfjellet videregående;Studieforberedende;Vg1;2021;81,8;78,8;3;0
3;I;38;974575027;Hele landet;Vestfold og Telemark;Thor Heyerdahl videregående skole;Studieforberedende;Vg1;2021;95,4;95,4;0;0
3;I;38;995354071;Hele landet;Vestfold og Telemark;Wang Tønsberg AS;Studieforberedende;Vg1;2021;100;100;0;0
1;I;;I;Hele landet;Alle fylker;Hele landet;Studieforberedende;Vg1;2022;91,7;91,3;0,1;0,4
2;I;38;38;Hele landet;Vestfold og Telemark;Vestfold og Telemark;Studieforberedende;Vg1;2022;92,9;92,3;0,1;0,4
3;I;38;974575086;Hele landet;Vestfold og Telemark;Færder videregående skole;Studieforberedende;Vg1;2022;87,9;87,9;0;0
3;I;38;974574993;Hele landet;Vestfold og Telemark;Greveskogen videregående skole;Studieforberedende;Vg1;2022;90,7;90,7;0;0
3;I;38;874575062;Hele landet;Vestfold og Telemark;Holmestrand videregående skole;Studieforberedende;Vg1;2022;94,2;92,3;0;1,9
3;I;38;923261354;Hele landet;Vestfold og Telemark;Horten videregående skole;Studieforberedende;Vg1;2022;95,4;94,9;0;0,5
