Stop;StopName;Kommunenavn;Lon;Lat;PublicLineNo;Reisende;Year;Month
33275;Amundrød Brunlanesveien;Larvik;9,868281;58,986567;1302;1,010665;2023;1
31326;Haugtuft;Sandefjord;10,226123;59,191929;1161;3,099186;2023;12
32566;Nesalleen;Tønsberg;10,452292;59,249295;111;3,178812;2023;10
33986;Borgheim ungdomsskole;Færder;10,406426;59,225812;1587;2,029373;2023;6
33618;Berg;Sandefjord;10,128617;59,293776;1524;1,897464;2023;5
32788;Hukstrøm bru;Larvik;9,972440;59,398234;1326;4,743661;2023;5
32913;Syrbekk Eikveien;Tønsberg;10,421573;59,297454;1591;8,476831;2023;10
32426;Spellemannsvingen;Larvik;9,858569;58,979955;1308;27,396536;2023;6
30434;Presterød;Tønsberg;10,442666;59,273291;1656;6,641125;2023;5
106667;Gulli Undrumveien;Tønsberg;10,379289;59,314663;126;41,322473;2023;12
32943;Søndre Kleivan;Holmestrand;10,280355;59,516116;1929;5,757167;2023;11
32493;Stein Lakskjønnveien;Sandefjord;10,066017;59,303953;124;14,834455;2023;10
32129;Skravestad;Sandefjord;10,311140;59,165037;138;7,417227;2023;10
32619;Nordbyen;Larvik;10,046149;59,068774;215;48,213745;2023;8
33402;Foss nordre;Holmestrand;10,267691;59,498964;47;7,231433;2023;12
32534;Kråkåsveien;Sandefjord;10,245617;59,141272;138;3,099186;2023;12
30755;Tunet;Horten;10,405351;59,385270;1189;0,959528;2023;11
30863;Sagmyra;Sandefjord;10,137902;59,214706;1236;7,031171;2023;8
33146;Jarlsberg travbane;Tønsberg;10,367610;59,281715;130;73,052375;2023;5
31603;Vølen;Sandefjord;10,310130;59,262973;1;45,479947;2023;1
34097;Bruaskauen;Færder;10,437393;59,226895;112;10,86766;2023;9
33100;Paulidalen;Horten;10,381135;59,395022;1174;54,793071;2023;6
33866;Bliksekilen;Tønsberg;10,497396;59,320407;1;77,116175;2023;6
31417;Langgrunn;Horten;10,463472;59,391971;2;236,124611;2023;9
32963;Sørby;Sandefjord;10,281411;59,234439;1159;33,590949;2023;9
33479;Freberg;Sandefjord;10,271891;59,141125;1202;48,722013;2023;4
32682;Langbrekke;Sandefjord;10,197555;59,307682;124;55,785339;2023;12
30510;Granly skole;Tønsberg;10,417443;59,290690;1593;0,959528;2023;11
32134;Midtløkken;Tønsberg;10,412392;59,272055;113B;428,712055;2023;7
31928;Holmen bru;Larvik;10,087356;59,192126;1361;177,412911;2023;5
32958;Hvålsåsen;Sandefjord;10,306825;59,216532;1249;4,02682;2023;3
31196;Hanevoll;Larvik;9,882516;59,323066;1325;22,550193;2023;3
33822;Enge;Larvik;9,915802;59,291695;1342;3,13187;2023;2
34070;Brekkebakken;Holmestrand;10,255662;59,571951;1817;16,703309;2023;2
31300;Skaustubakken;Sandefjord;10,262082;59,133149;161;43,388597;2023;12
33754;Bisjord;Larvik;10,086128;59,048566;1143;1,897464;2023;5
31642;Yttersøveien;Larvik;10,056020;59,063507;210;108,079599;2023;10
33056;Teie idrettspark;Færder;10,403197;59,251244;100;3,794929;2023;5
30743;Rød Fonsveien;Tønsberg;10,191297;59,444282;1509;30,319965;2023;1
31585;Hem;Larvik;10,201925;59,076380;1;212,239752;2023;1
33372;Ary;Sandefjord;10,265968;59,163109;1239;1,033062;2023;12
32723;Stubbsrød;Holmestrand;10,165241;59,531491;1919;1,004453;2023;8
