CAR_ID;Adresse;RENTAL_ID;DRIVER_ID;STARTS_AT;IS_BUSINESS_TRIP;CURRENT_AGE;CITY;;
1087872;Rambergveien 19, Tønsberg, Norge;8381856;4949444;22.05.2024;no;63;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7898058;4949444;02.11.2023;yes;63;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7779806;4949444;10.09.2023;yes;63;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7725666;4949444;20.08.2023;yes;63;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7190685;4949444;18.12.2022;yes;63;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7149340;4908734;25.11.2022;no;43;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7193680;4946313;25.12.2022;yes;39;Vear;;
1087872;Rambergveien 19, Tønsberg, Norge;7180214;4941774;18.12.2022;no;29;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7491624;4965108;17.05.2023;no;26;horten;;
1087872;Rambergveien 19, Tønsberg, Norge;7200995;4955748;26.12.2022;no;50;;;
1087872;Rambergveien 19, Tønsberg, Norge;8359786;4093625;17.05.2024;no;40;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7505438;4100560;22.05.2023;no;34;OSLO;;
1087872;Rambergveien 19, Tønsberg, Norge;7577891;5240586;18.06.2023;yes;29;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7587806;5258443;22.06.2023;no;28;Paradis;;
1087872;Rambergveien 19, Tønsberg, Norge;7592494;5262441;23.06.2023;no;21;Råel;;
1087872;Rambergveien 19, Tønsberg, Norge;7182442;4443741;14.12.2022;yes;50;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7492131;4443741;24.06.2023;no;50;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7493147;4455958;19.05.2023;dismissed;63;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7757247;5406620;01.09.2023;no;30;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8060024;5650292;25.01.2024;no;44;Sochaczew;;
1087872;Rambergveien 19, Tønsberg, Norge;8332147;5638445;04.05.2024;no;38;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7717760;4424391;14.08.2023;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7419586;4424391;16.04.2023;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7870663;4424391;20.10.2023;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7205748;4424391;28.12.2022;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7810064;4424391;28.09.2023;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7729904;4424391;20.08.2023;no;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8014368;5164597;02.01.2024;unclear;35;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8348791;5913784;10.05.2024;yes;46;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8348789;5913784;16.05.2024;yes;46;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8364911;5913784;15.05.2024;yes;46;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8332895;5913784;04.05.2024;yes;46;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8348785;5913784;09.05.2024;yes;46;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8335453;5916143;07.05.2024;yes;49;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8349385;5916143;18.05.2024;dismissed;49;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7648948;5305133;14.08.2023;no;53;TOMASJORD;;
1087872;Rambergveien 19, Tønsberg, Norge;7727514;5309182;18.08.2023;yes;33;Stokke;;
1087872;Rambergveien 19, Tønsberg, Norge;8317305;5343339;29.04.2024;yes;46;Nøtterøy;;
1087872;Rambergveien 19, Tønsberg, Norge;7864846;5317029;17.11.2023;no;30;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8003939;5576941;28.12.2023;no;63;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;7229467;4325139;11.01.2023;yes;47;Tolvsrød;;
1087872;Rambergveien 19, Tønsberg, Norge;8202276;5730024;18.03.2024;no;25;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8134105;5730024;22.02.2024;no;25;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8134083;5730135;22.02.2024;no;30;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8140754;5723623;26.02.2024;no;41;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;8379104;5743365;21.05.2024;dismissed;48;Munkerekka;;
1087872;Rambergveien 19, Tønsberg, Norge;7654076;4789732;15.07.2023;no;28;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7685011;4789732;29.07.2023;no;28;Tønsberg;;
1087872;Rambergveien 19, Tønsberg, Norge;7503300;4748714;23.05.2023;no;32;Trondheim;;
1087872;Rambergveien 19, Tønsberg, Norge;7475932;4748714;09.05.2023;no;32;Trondheim;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7926965;4213437;17.11.2023;no;24;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8370249;5947152;17.05.2024;no;26;Barkåker;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8364836;5947152;17.05.2024;no;26;Barkåker;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8399631;5981499;03.06.2024;yes;39;Torød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8388227;5970274;24.05.2024;no;37;Sandefjord;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8373848;5956190;19.05.2024;yes;39;Alta;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8410761;5991943;31.05.2024;no;49;Nøtterøy;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7546625;4007063;06.06.2023;yes;36;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7671025;4011817;24.07.2023;no;38;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7980438;4011817;14.12.2023;no;38;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7476933;4024230;05.07.2023;no;35;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8227797;4022861;29.03.2024;no;49;Oslo;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8188613;4246363;23.03.2024;no;25;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8002611;4260762;27.12.2023;no;35;Oslo;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7581699;5249460;21.06.2023;not specified;;;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7524034;5116810;29.05.2023;no;33;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7451848;5145252;28.04.2023;dismissed;45;Sandefjord;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7465957;5155779;09.05.2023;no;44;Sem;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8391183;5151554;25.05.2024;no;42;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7799041;5151554;20.09.2023;no;42;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8124843;4143074;19.02.2024;no;31;Fredrikstad;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7532010;4146500;02.06.2023;no;61;Porsgrunn;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7893607;4172503;31.10.2023;no;27;Oslo;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7836441;4170556;04.10.2023;no;36;Vrådal;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7903602;5417908;05.11.2023;no;43;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7850898;5448393;10.10.2023;yes;23;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8182066;5412544;18.03.2024;yes;37;nøtterøy;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8356176;5412544;12.05.2024;yes;37;nøtterøy;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7621665;5040176;08.08.2023;no;30;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7454502;5037292;30.04.2023;no;31;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7457612;5037292;01.05.2023;no;31;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7721905;5037292;17.08.2023;no;31;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7360304;5037292;19.03.2023;no;31;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7412602;5037292;12.04.2023;dismissed;31;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8283582;5037292;16.04.2024;no;31;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7682855;4845843;03.08.2023;no;47;Nøtterøy;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7364297;4845843;03.05.2023;no;47;Nøtterøy;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7561842;4845843;16.06.2023;no;47;Nøtterøy;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7844439;4586742;07.10.2023;no;26;barkåker;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7349525;4589213;04.04.2023;no;34;Tromsø;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7869853;5489368;19.10.2023;no;23;Tolvsrød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8083382;5677733;03.02.2024;yes;;;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8038160;4103138;14.01.2024;no;38;BARKÅKER;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7564986;5239254;14.06.2023;dismissed;31;Sem;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7959349;5215115;03.12.2023;yes;23;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7899452;5510889;03.11.2023;dismissed;38;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8034593;5517448;13.01.2024;no;41;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8154941;5517448;01.03.2024;no;41;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7958768;5525229;05.12.2023;no;63;Tolvsrød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7935111;5525229;24.11.2023;no;63;Tolvsrød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7945784;5542966;27.11.2023;yes;58;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8294781;4195467;21.04.2024;yes;32;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7378920;4949444;29.03.2023;yes;63;Tolvsrød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7767086;4949444;05.09.2023;yes;63;Tolvsrød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7437407;4949444;23.04.2023;no;63;Tolvsrød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7509757;4949444;24.05.2023;no;63;Tolvsrød;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8225546;5814957;27.03.2024;dismissed;30;Tjøme;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8223385;5812699;25.03.2024;no;27;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8272635;5858400;12.04.2024;dismissed;68;Sandefjord;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8311445;5894834;22.06.2024;not specified;44;Nøtterøy;;
1167413;Jernbanegaten 2, Tønsberg, Norge;8081507;5246113;10.02.2024;no;23;Tønsberg;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7889028;5244833;29.10.2023;yes;22;Sem;;
1167413;Jernbanegaten 2, Tønsberg, Norge;7852399;5244833;21.10.2023;yes;22;Sem;;
