Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Besøk totalt,Besøk pr. innb.,Arr. totalt,Arr. frammøtte,Arr. frammøtte pr. 100 innb.,Egne arr. totalt,Egne arr. frammøtte,Egne arr. frammøtte pr. 100 innb.,Eksternes arr. totalt,Eksternes arr. frammøtte,Eksternes arr frammøtte pr. 100 innb.
"Gjesdal,1 122,12 362,34 000,""2,8"",231,5 959,48,231,5 959,48,,,"
"Sola,1 124,28 685,120 743,""4,2"",274,14 969,52,265,13 932,49,9,1 037,4"
"Randaberg,1 127,11 742,62 013,""5,3"",144,3 573,30,70,2 730,23,74,843,7"
"Strand,1 130,13 703,65 455,""4,8"",95,3 222,24,95,3 222,24,,,"
"Hjelmeland,1 133,2 643,7 330,""2,8"",77,1 355,51,34,905,34,43,450,17"
"Suldal,1 134,3 889,20 835,""5,4"",174,2 454,63,90,1 689,43,84,765,20"
"Sauda,1 135,4 572,26 670,""5,8"",32,522,11,23,447,10,9,75,2"
"Kvitsøy,1 144,544,795,""1,5"",17,110,20,17,110,20,,,"
"Bokn,1 145,883,5 135,""5,8"",80,1 525,173,75,1 413,160,5,112,13"
"Tysvær,1 146,11 570,91 822,""7,9"",279,9 971,86,225,9 558,83,54,413,4"
"Karmøy,1 149,43 306,104 803,""2,4"",411,12 666,29,404,12 640,29,7,26,0"
"Utsira,1 151,215,2 376,""11,1"",22,304,141,22,304,141,,,"
"Vindafjord,1 160,8 938,38 614,""4,3"",269,4 817,54,269,4 817,54,,,"
"Bergen,4 601,291 940,1 113 855,""3,8"",3 540,77 612,27,3 201,68 224,23,339,9 388,3"
"Kinn,4 602,17 349,43 530,""2,5"",62,1 873,11,59,1 819,10,3,54,0"
"Etne,4 611,4 072,26 186,""6,4"",201,5 262,129,200,5 222,128,1,40,1"
"Sveio,4 612,5 742,20 002,""3,5"",111,1 914,33,105,1 838,32,6,76,1"
"Bømlo,4 613,12 268,30 260,""2,5"",186,4 438,36,172,3 841,31,14,597,5"
"Stord,4 614,19 287,34 466,""1,8"",191,6 157,32,169,5 488,28,22,669,3"
"Fitjar,4 615,3 203,7 980,""2,5"",57,1 798,56,57,1 798,56,,,"
"Tysnes,4 616,2 922,7 425,""2,5"",22,486,17,21,451,15,1,35,1"
"Kvinnherad,4 617,13 089,73 965,""5,7"",180,5 425,41,168,5 025,38,12,400,3"
"Ullensvang,4 618,11 017,61 675,""5,6"",284,7 427,67,224,6 627,60,60,800,7"
"Eidfjord,4 619,968,1 146,""1,2"",14,105,11,13,90,9,1,15,2"
"Ulvik,4 620,1 089,1 729,""1,6"",27,535,49,27,535,49,,,"
"Voss,4 621,16 471,76 840,""4,7"",118,3 646,22,111,3 398,21,7,248,2"
"Kvam,4 622,8 496,28 031,""3,3"",130,2 587,30,124,2 542,30,6,45,1"
"Samnanger,4 623,2 502,10 141,""4,1"",108,2 555,102,98,2 126,85,10,429,17"
"Bjørnafjorden,4 624,26 080,45 047,""1,7"",214,5 200,20,101,3 498,13,113,1 702,7"
"Austevoll,4 625,5 300,16 990,""3,2"",210,3 515,66,179,2 941,55,31,574,11"
"Øygarden,4 626,39 768,125 659,""3,2"",500,11 792,30,262,8 270,21,238,3 522,9"
"Askøy,4 627,30 145,80 000,""2,7"",268,7 417,25,206,5 835,19,62,1 582,5"
"Vaksdal,4 628,3 852,2 608,""0,7"",19,187,5,19,187,5,,,"
Modalen,4 629,384,765,2,20,565,147,15,395,103,5,170,44
Osterøy,4 630,8 200,24 987,3,88,2 717,33,54,1 839,22,34,878,11
"Alver,4 631,29 986,116 358,""3,9"",331,6 831,23,316,6 520,22,15,311,1"
"Austrheim,4 632,2 881,6 872,""2,4"",45,1 615,56,32,1 337,46,13,278,10"
"Fedje,4 633,519,2 250,""4,3"",41,550,106,9,230,44,32,320,62"
"Masfjorden,4 634,1 694,5 169,""3,1"",94,1 052,62,91,976,58,3,76,4"
"Gulen,4 635,2 234,1 750,""0,8"",5,85,4,5,85,4,,,"
"Solund,4 636,750,1 600,""2,1"",,,,,,,,,"
"Hyllestad,4 637,1 268,3 216,""2,5"",18,490,39,6,190,15,12,300,24"
"Høyanger,4 638,3 879,14 782,""3,8"",36,2 855,74,24,1 741,45,12,1 114,29"
"Vik,4 639,2 551,11 000,""4,3"",65,2 068,81,65,2 068,81,,,"
"Sogndal,4 640,12 319,102 053,""8,3"",259,5 539,45,257,5 493,45,2,46,0"
Aurland,4 641,1 800,8 944,5,73,1 198,67,33,598,33,40,600,33
Lærdal,4 642,2 160,6 478,3,75,1 066,49,53,914,42,22,152,7
"Årdal,4 643,5 239,31 859,""6,1"",102,3 200,61,102,3 200,61,,,"
"Luster,4 644,5 371,26 000,""4,8"",71,1 557,29,52,1 370,26,19,187,3"
"Askvoll,4 645,2 986,4 341,""1,5"",8,261,9,7,241,8,1,20,1"
"Fjaler,4 646,2 869,8 844,""3,1"",22,380,13,22,380,13,,,"
"Sunnfjord,4 647,22 450,98 268,""4,4"",406,9 600,43,396,9 483,42,10,117,1"
"Bremanger,4 648,3 392,7 050,""2,1"",115,1 083,32,111,1 026,30,4,57,2"
"Stad,4 649,9 610,46 688,""4,9"",46,1 285,13,25,1 034,11,21,251,3"
"Gloppen,4 650,5 926,40 000,""6,7"",84,1 145,19,67,1 070,18,17,75,1"
"Stryn,4 651,7 271,55 613,""7,6"",111,3 293,45,109,3 268,45,2,25,0"
"Kristiansund,1 505,24 404,71 065,""2,9"",225,5 457,22,196,4 596,19,29,861,4"
"Molde,1 506,32 816,103 233,""3,1"",284,4 917,15,284,4 917,15,,,"
"Ålesund,1 508,58 509,207 211,""3,5"",610,13 522,23,589,13 028,22,21,494,1"
"Vanylven,1 511,3 026,2 560,""0,8"",8,280,9,7,215,7,1,65,2"
"Sande (Møre og Romsdal),1 514,2 438,3 370,""1,4"",8,210,9,8,210,9,,,"
"Herøy (Møre og Romsdal),1 515,8 968,12 514,""1,4"",67,1 590,18,64,1 565,17,3,25,0"
"Ulstein,1 516,8 861,46 444,""5,2"",228,4 215,48,84,2 153,24,144,2 062,23"
"Hareid,1 517,5 322,24 604,""4,6"",150,4 175,78,108,2 980,56,42,1 195,22"
