Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever;Elevgrunnlag for totalfravær;Totalfravær (%);Antall fraværsdager;Antall fraværstimer
2022/23;Alle utdanningsprogram;Totalt;Vestfold;7 897;7 634;7,1%;7,6;27,0
2021/22;Alle utdanningsprogram;Totalt;Vestfold;7 893;7 670;2,8%;1,6;17,7
2020/21;Alle utdanningsprogram;Totalt;Vestfold;7 954;7 630;3,2%;2,8;15,7
2019/20;Alle utdanningsprogram;Totalt;Vestfold;7 833;7 444;4,2%;4,8;14,6
2018/19;Alle utdanningsprogram;Totalt;Vestfold;7 900;7 626;5,6%;6,2;20,5
2017/18;Alle utdanningsprogram;Totalt;Vestfold;8 122;7 778;5,4%;6,1;18,9
2022/23;BA;Totalt;Færder videregående skole;130;121;7,3%;7,1;34,1
2022/23;BA;Totalt;Re videregående skole;141;135;4,7%;3,7;26,8
2022/23;BA;Totalt;Thor Heyerdahl videregående skole;131;111;6,3%;7,0;24,9
2022/23;EL;Totalt;Færder videregående skole;113;111;3,0%;3,5;10,4
2022/23;EL;Totalt;Horten videregående skole;73;69;3,8%;3,5;18,9
2022/23;EL;Totalt;Sande videregående skole;42;41;4,0%;3,2;22,2
2022/23;EL;Totalt;Sandefjord videregående skole;68;66;3,1%;3,5;12,7
2022/23;EL;Totalt;Thor Heyerdahl videregående skole;96;96;2,9%;2,6;14,8
2022/23;FD;Totalt;Horten videregående skole;37;32;9,3%;10,4;36,4
2022/23;FD;Totalt;Sandefjord videregående skole;103;91;9,1%;7,8;48,6
2022/23;HS;Totalt;Holmestrand videregående skole;36;33;13,4%;16,9;42,5
2022/23;HS;Totalt;Horten videregående skole;135;131;10,6%;13,7;32,6
2022/23;HS;Totalt;Nøtterøy videregående skole;118;111;9,4%;11,6;31,2
2022/23;HS;Totalt;Re videregående skole;135;130;6,7%;8,8;19,1
2022/23;HS;Totalt;Sande videregående skole;79;75;9,5%;13,2;23,9
2022/23;HS;Totalt;Sandefjord videregående skole;217;205;11,3%;13,8;38,6
2022/23;HS;Totalt;Thor Heyerdahl videregående skole;123;113;5,1%;6,2;17,5
2022/23;ID;Totalt;Horten videregående skole;90;90;5,8%;6,3;23,6
2022/23;ID;Totalt;Re videregående skole;174;173;4,4%;4,0;22,4
2022/23;ID;Totalt;Sande videregående skole;63;63;7,3%;9,6;21,0
2022/23;ID;Totalt;Sandefjord videregående skole;90;90;4,8%;5,6;17,3
2022/23;ID;Totalt;Thor Heyerdahl videregående skole;181;180;5,9%;6,3;25,3
2022/23;IM;Totalt;Greveskogen videregående skole;47;45;5,0%;4,0;28,0
2022/23;IM;Totalt;Horten videregående skole;33;33;8,5%;11,2;24,5
2022/23;IM;Totalt;Sandefjord videregående skole;63;61;6,0%;7,1;21,3
2022/23;KD;Totalt;Færder videregående skole;110;109;8,6%;11,3;24,7
2022/23;KD;Totalt;Sandefjord videregående skole;71;71;8,8%;10,3;32,7
2022/23;MD;Totalt;Greveskogen videregående skole;74;74;7,2%;6,8;35,5
2022/23;MD;Totalt;Sandefjord videregående skole;122;120;5,3%;3,7;32,5
2022/23;MD;Totalt;Thor Heyerdahl videregående skole;69;69;6,8%;7,9;25,3
2022/23;ME;Totalt;Horten videregående skole;78;74;11,1%;12,7;42,1
2022/23;ME;Totalt;Melsom videregående skole;23;22;10,5%;15,3;22,5
2022/23;ME;Totalt;Sande videregående skole;18;18;9,4%;11,7;30,7
2022/23;ME;Totalt;Thor Heyerdahl videregående skole;74;70;5,2%;5,0;24,7
2022/23;NA;Totalt;Melsom videregående skole;87;80;7,3%;8,0;29,5
2022/23;PB;Totalt;Eksamenskontoret i Vestfold;1;0;-;-;-
2022/23;PB;Totalt;Færder videregående skole;142;136;9,1%;10,9;12,6
2022/23;PB;Totalt;Holmestrand videregående skole;26;20;23,8%;35,7;46,7
2022/23;PB;Totalt;Horten videregående skole;54;53;8,5%;10,8;26,2
2022/23;PB;Totalt;Melsom videregående skole;24;22;12,2%;13,0;50,1
2022/23;PB;Totalt;Nøtterøy videregående skole;13;13;7,7%;9,1;27,7
2022/23;PB;Totalt;Re videregående skole;30;30;7,3%;7,4;33,2
2022/23;PB;Totalt;Sande videregående skole;18;18;3,7%;3,9;15,5
2022/23;PB;Totalt;Sandefjord videregående skole;82;79;9,4%;7,1;50,0
2022/23;PB;Totalt;Thor Heyerdahl videregående skole;61;57;9,4%;7,8;50,6
2022/23;RM;Totalt;Greveskogen videregående skole;53;50;6,7%;5,1;39,5
2022/23;RM;Totalt;Holmestrand videregående skole;13;12;15,3%;0,5;147,0
2022/23;RM;Totalt;Sandefjord videregående skole;19;18;9,3%;13,5;19,9
2022/23;RM;Totalt;Thor Heyerdahl videregående skole;43;37;7,4%;10,0;20,5
2022/23;SR;Totalt;Greveskogen videregående skole;53;51;12,2%;12,4;55,1
2022/23;SR;Totalt;Horten videregående skole;34;32;13,0%;15,0;49,1
2022/23;SR;Totalt;Sandefjord videregående skole;135;122;8,3%;6,6;46,7
2022/23;SR;Totalt;Thor Heyerdahl videregående skole;73;65;9,5%;10,2;39,4
2022/23;ST;Totalt;Greveskogen videregående skole;556;549;8,0%;8,7;28,2
2022/23;ST;Totalt;Holmestrand videregående skole;101;101;8,7%;9,6;30,2
2022/23;ST;Totalt;Horten videregående skole;463;461;5,6%;6,9;16,3
2022/23;ST;Totalt;Melsom videregående skole;28;27;6,9%;7,3;25,1
2022/23;ST;Totalt;Nøtterøy videregående skole;443;442;7,8%;8,8;26,0
2022/23;ST;Totalt;Re videregående skole;304;303;6,6%;7,7;20,6
2022/23;ST;Totalt;Sande videregående skole;114;113;5,2%;6,1;16,1
2022/23;ST;Totalt;Sandefjord videregående skole;861;848;6,6%;6,5;26,1
2022/23;ST;Totalt;Thor Heyerdahl videregående skole;442;436;5,9%;5,2;26,9
2022/23;TP;Totalt;Færder videregående skole;166;155;6,0%;6,3;25,4
2022/23;TP;Totalt;Holmestrand videregående skole;16;12;6,8%;9,8;15,3
2022/23;TP;Totalt;Horten videregående skole;42;38;4,3%;2,8;27,6
2022/23;TP;Totalt;Sande videregående skole;41;38;11,5%;17,1;23,2
2022/23;TP;Totalt;Sandefjord videregående skole;87;77;6,2%;5,3;33,1
2022/23;TP;Totalt;Thor Heyerdahl videregående skole;115;106;3,9%;2,5;25,3
2021/22;BA;Totalt;Færder videregående skole;129;119;3,5%;1,6;25,5
2021/22;BA;Totalt;Re videregående skole;149;143;1,8%;0,8;13,2
2021/22;BA;Totalt;Thor Heyerdahl videregående skole;118;114;3,8%;3,2;20,4
2021/22;DH;Totalt;Sandefjord videregående skole;13;11;5,9%;8,9;11,0
2021/22;EL;Totalt;Færder videregående skole;106;104;0,8%;0,3;6,4
2021/22;EL;Totalt;Horten videregående skole;72;66;0,8%;0,6;4,9
2021/22;EL;Totalt;Sande videregående skole;43;43;1,3%;0,6;9,9
2021/22;EL;Totalt;Sandefjord videregående skole;66;62;2,1%;1,3;13,6
2021/22;EL;Totalt;Thor Heyerdahl videregående skole;96;96;1,5%;0,3;13,1
2021/22;FD;Totalt;Horten videregående skole;43;38;2,0%;1,0;14,0
2021/22;FD;Totalt;Sandefjord videregående skole;62;56;3,8%;0,6;34,1
2021/22;HS;Totalt;Holmestrand videregående skole;30;29;2,8%;0,6;23,8
2021/22;HS;Totalt;Horten videregående skole;138;135;2,0%;1,6;11,2
2021/22;HS;Totalt;Nøtterøy videregående skole;129;123;3,0%;2,5;16,5
2021/22;HS;Totalt;Re videregående skole;133;130;2,1%;1,4;13,3
2021/22;HS;Totalt;Sande videregående skole;89;88;2,2%;1,8;12,0
2021/22;HS;Totalt;Sandefjord videregående skole;226;212;4,5%;3,1;27,6
2021/22;HS;Totalt;Thor Heyerdahl videregående skole;137;128;4,2%;4,7;16,4
2021/22;ID;Totalt;Horten videregående skole;91;90;2,0%;1,0;13,9
2021/22;ID;Totalt;Re videregående skole;170;170;2,1%;0,9;15,3
2021/22;ID;Totalt;Sande videregående skole;62;61;4,4%;4,7;17,9
2021/22;ID;Totalt;Sandefjord videregående skole;89;89;1,9%;1,1;12,4
2021/22;ID;Totalt;Thor Heyerdahl videregående skole;183;182;3,3%;2,3;20,2
2021/22;IM;Totalt;Greveskogen videregående skole;30;30;1,0%;0,3;8,2
2021/22;IM;Totalt;Horten videregående skole;31;30;2,5%;1,4;17,5
2021/22;IM;Totalt;Sandefjord videregående skole;62;60;3,8%;2,4;24,9
2021/22;KD;Totalt;Færder videregående skole;89;88;1,0%;0,8;5,7
2021/22;KD;Totalt;Sandefjord videregående skole;73;71;3,0%;2,1;18,5
2021/22;MD;Totalt;Greveskogen videregående skole;87;83;1,4%;0,2;12,2
2021/22;MD;Totalt;Sandefjord videregående skole;131;129;1,8%;0,8;13,4
2021/22;MD;Totalt;Thor Heyerdahl videregående skole;70;69;3,0%;1,5;21,7
2021/22;ME;Totalt;Holmestrand videregående skole;8;8;4,7%;3,3;28,8
2021/22;ME;Totalt;Horten videregående skole;86;82;2,5%;1,1;19,3
2021/22;ME;Totalt;Melsom videregående skole;29;28;4,2%;3,4;23,5
2021/22;ME;Totalt;Sande videregående skole;28;27;1,9%;1,1;13,1
2021/22;ME;Totalt;Thor Heyerdahl videregående skole;80;76;4,6%;3,9;24,7
2021/22;NA;Totalt;Melsom videregående skole;98;95;4,5%;2,9;29,4
2021/22;PB;Totalt;Færder videregående skole;179;171;3,1%;2,6;12,3
2021/22;PB;Totalt;Holmestrand videregående skole;23;22;6,2%;1,5;53,5
2021/22;PB;Totalt;Horten videregående skole;55;54;2,3%;0,8;18,3
2021/22;PB;Totalt;Melsom videregående skole;21;19;2,0%;0,4;15,7
2021/22;PB;Totalt;Nøtterøy videregående skole;19;19;2,6%;1,2;18,7
2021/22;PB;Totalt;Re videregående skole;30;30;0,9%;0,5;5,6
2021/22;PB;Totalt;Sande videregående skole;16;16;1,7%;0,2;15,5
2021/22;PB;Totalt;Sandefjord videregående skole;106;103;4,5%;3,2;27,1
2021/22;PB;Totalt;Thor Heyerdahl videregående skole;64;63;4,5%;1,3;37,5
2021/22;RM;Totalt;Greveskogen videregående skole;74;73;2,0%;1,5;11,9
2021/22;RM;Totalt;Holmestrand videregående skole;12;10;7,8%;0,3;75,2
2021/22;RM;Totalt;Sandefjord videregående skole;15;14;4,9%;7,2;10,4
2021/22;RM;Totalt;Thor Heyerdahl videregående skole;53;51;3,9%;3,7;19,1
2021/22;SR;Totalt;Greveskogen videregående skole;48;47;6,1%;0,9;55,3
2021/22;SR;Totalt;Horten videregående skole;28;25;4,6%;3,6;26,4
2021/22;SR;Totalt;Sandefjord videregående skole;131;117;5,7%;3,9;35,7
2021/22;SR;Totalt;Thor Heyerdahl videregående skole;70;63;3,6%;2,0;25,0
2021/22;ST;Totalt;Greveskogen videregående skole;521;513;1,7%;0,3;13,2
2021/22;ST;Totalt;Holmestrand videregående skole;115;113;3,1%;1,9;17,2
2021/22;ST;Totalt;Horten videregående skole;461;458;2,5%;1,7;13,2
2021/22;ST;Totalt;Melsom videregående skole;24;24;3,2%;1,2;21,4
2021/22;ST;Totalt;Nøtterøy videregående skole;419;416;2,2%;0,9;14,3
2021/22;ST;Totalt;Re videregående skole;302;298;1,6%;0,8;10,3
2021/22;ST;Totalt;Sande videregående skole;124;124;1,7%;0,9;10,0
2021/22;ST;Totalt;Sandefjord videregående skole;851;841;3,2%;1,6;19,3
2021/22;ST;Totalt;Thor Heyerdahl videregående skole;427;426;2,9%;1,7;17,0
2021/22;TP;Totalt;Færder videregående skole;148;138;2,7%;2,3;14,7
2021/22;TP;Totalt;Holmestrand videregående skole;16;15;4,7%;2,8;31,0
2021/22;TP;Totalt;Horten videregående skole;41;36;4,2%;4,1;19,6
2021/22;TP;Totalt;Sande videregående skole;23;22;2,6%;1,7;17,0
2021/22;TP;Totalt;Sandefjord videregående skole;85;75;7,8%;2,2;64,9
2021/22;TP;Totalt;Thor Heyerdahl videregående skole;116;109;2,8%;0,9;23,1
2020/21;BA;Totalt;Færder videregående skole;143;133;3,7%;3,4;18,9
2020/21;BA;Totalt;Re videregående skole;157;146;1,7%;1,5;8,6
2020/21;BA;Totalt;Thor Heyerdahl videregående skole;110;106;3,2%;3,4;13,5
2020/21;DH;Totalt;Færder videregående skole;12;11;16,6%;17,9;68,5
2020/21;DH;Totalt;Horten videregående skole;23;22;3,6%;5,0;9,0
2020/21;DH;Totalt;Sandefjord videregående skole;39;38;7,5%;8,9;26,4
2020/21;EL;Totalt;Færder videregående skole;127;124;1,6%;0,8;12,2
2020/21;EL;Totalt;Horten videregående skole;71;70;1,1%;0,9;6,0
2020/21;EL;Totalt;Sande videregående skole;46;46;2,0%;0,8;15,3
2020/21;EL;Totalt;Sandefjord videregående skole;67;58;2,0%;2,3;7,8
2020/21;EL;Totalt;Thor Heyerdahl videregående skole;95;85;1,2%;0,8;7,9
2020/21;FD;Totalt;Horten videregående skole;30;25;2,7%;2,1;15,5
2020/21;FD;Totalt;Sandefjord videregående skole;27;24;10,0%;11,9;35,4
2020/21;HS;Totalt;Holmestrand videregående skole;29;27;6,1%;7,4;20,8
2020/21;HS;Totalt;Horten videregående skole;141;137;2,0%;1,2;13,1
2020/21;HS;Totalt;Nøtterøy videregående skole;132;125;2,0%;1,6;11,2
2020/21;HS;Totalt;Re videregående skole;132;122;1,8%;2,0;7,5
2020/21;HS;Totalt;Sande videregående skole;65;65;1,2%;0,9;7,0
2020/21;HS;Totalt;Sandefjord videregående skole;245;222;5,8%;7,3;18,9
2020/21;HS;Totalt;Thor Heyerdahl videregående skole;150;145;4,8%;6,3;13,9
2020/21;ID;Totalt;Horten videregående skole;88;88;2,3%;1,4;15,6
2020/21;ID;Totalt;Re videregående skole;164;160;1,7%;1,2;10,4
2020/21;ID;Totalt;Sande videregående skole;66;66;2,9%;2,1;17,6
2020/21;ID;Totalt;Sandefjord videregående skole;91;90;2,0%;1,5;11,6
2020/21;ID;Totalt;Thor Heyerdahl videregående skole;182;175;2,6%;1,3;18,7
2020/21;IM;Totalt;Greveskogen videregående skole;14;14;0,6%;0,2;5,1
2020/21;IM;Totalt;Horten videregående skole;15;14;0,7%;0,2;6,0
2020/21;IM;Totalt;Sandefjord videregående skole;31;31;3,3%;3,8;12,6
2020/21;KD;Totalt;Færder videregående skole;88;88;1,0%;0,8;5,6
2020/21;KD;Totalt;Sandefjord videregående skole;68;62;6,3%;7,5;22,6
2020/21;MD;Totalt;Greveskogen videregående skole;86;85;3,2%;3,0;16,1
2020/21;MD;Totalt;Sandefjord videregående skole;127;124;2,1%;1,7;11,8
2020/21;MD;Totalt;Thor Heyerdahl videregående skole;77;74;2,6%;1,4;17,7
2020/21;ME;Totalt;Holmestrand videregående skole;15;15;1,6%;0,3;14,3
2020/21;ME;Totalt;Horten videregående skole;86;86;2,1%;1,3;14,3
2020/21;ME;Totalt;Melsom videregående skole;36;34;3,5%;1,9;25,0
2020/21;ME;Totalt;Sande videregående skole;38;38;3,9%;4,0;17,3
2020/21;ME;Totalt;Thor Heyerdahl videregående skole;85;78;3,0%;1,3;22,9
2020/21;NA;Totalt;Melsom videregående skole;86;81;3,7%;2,6;22,9
2020/21;PB;Totalt;Færder videregående skole;179;172;2,9%;2,3;11,8
2020/21;PB;Totalt;Holmestrand videregående skole;28;26;10,9%;8,8;60,6
2020/21;PB;Totalt;Horten videregående skole;52;51;2,2%;0,8;17,2
2020/21;PB;Totalt;Melsom videregående skole;25;24;8,9%;8,0;34,2
2020/21;PB;Totalt;Nøtterøy videregående skole;15;15;2,0%;2,0;9,1
2020/21;PB;Totalt;Re videregående skole;29;26;2,0%;1,7;10,8
2020/21;PB;Totalt;Sande videregående skole;15;15;1,5%;1,3;8,2
2020/21;PB;Totalt;Sandefjord videregående skole;77;74;3,8%;3,1;18,3
2020/21;PB;Totalt;Thor Heyerdahl videregående skole;84;80;5,6%;4,2;32,6
2020/21;RM;Totalt;Greveskogen videregående skole;64;60;5,2%;6,7;15,5
2020/21;RM;Totalt;Holmestrand videregående skole;18;18;7,4%;8,5;27,5
2020/21;RM;Totalt;Sandefjord videregående skole;41;38;8,4%;13,2;12,9
2020/21;RM;Totalt;Thor Heyerdahl videregående skole;47;42;6,4%;7,4;23,6
2020/21;SR;Totalt;Greveskogen videregående skole;34;32;5,5%;4,8;29,0
2020/21;SR;Totalt;Horten videregående skole;19;17;5,0%;2,1;38,2
2020/21;SR;Totalt;Sandefjord videregående skole;70;66;6,2%;6,9;24,8
2020/21;SR;Totalt;Thor Heyerdahl videregående skole;47;45;5,3%;5,5;23,0
2020/21;SS;Totalt;Greveskogen videregående skole;69;68;9,3%;7,7;50,9
2020/21;SS;Totalt;Horten videregående skole;29;27;10,1%;10,8;42,4
2020/21;SS;Totalt;Sandefjord videregående skole;118;116;5,7%;6,8;20,8
2020/21;SS;Totalt;Thor Heyerdahl videregående skole;33;33;7,1%;4,1;48,0
2020/21;ST;Totalt;Greveskogen videregående skole;509;499;3,6%;2,6;18,2
2020/21;ST;Totalt;Holmestrand videregående skole;111;109;1,9%;1,5;9,3
2020/21;ST;Totalt;Horten videregående skole;457;453;1,9%;1,1;11,2
2020/21;ST;Totalt;Melsom videregående skole;35;33;3,8%;1,9;22,9
2020/21;ST;Totalt;Nøtterøy videregående skole;384;375;1,6%;0,6;10,9
2020/21;ST;Totalt;Re videregående skole;307;299;2,4%;1,7;12,6
2020/21;ST;Totalt;Sande videregående skole;138;131;2,0%;1,1;12,0
2020/21;ST;Totalt;Sandefjord videregående skole;797;782;3,2%;2,6;14,7
2020/21;ST;Totalt;Thor Heyerdahl videregående skole;414;389;1,8%;0,7;12,1
2020/21;TP;Totalt;Færder videregående skole;157;144;2,6%;2,5;12,3
2020/21;TP;Totalt;Holmestrand videregående skole;15;15;4,3%;3,2;25,3
2020/21;TP;Totalt;Horten videregående skole;33;30;5,4%;4,1;31,4
2020/21;TP;Totalt;Sande videregående skole;27;25;3,7%;4,1;15,0
2020/21;TP;Totalt;Sandefjord videregående skole;89;75;10,7%;13,4;34,0
2020/21;TP;Totalt;Thor Heyerdahl videregående skole;104;92;3,7%;3,2;19,9
2019/20;BA;Totalt;Færder videregående skole;130;121;3,6%;3,5;16,8
2019/20;BA;Totalt;Re videregående skole;145;120;1,9%;1,9;8,7
2019/20;BA;Totalt;Thor Heyerdahl videregående skole;104;98;2,4%;3,0;7,9
2019/20;DH;Totalt;Færder videregående skole;33;31;8,5%;8,7;37,6
2019/20;DH;Totalt;Horten videregående skole;47;43;5,7%;6,5;21,3
2019/20;DH;Totalt;Sandefjord videregående skole;67;60;5,1%;6,3;17,4
2019/20;EL;Totalt;Færder videregående skole;93;79;2,1%;2,7;6,6
2019/20;EL;Totalt;Horten videregående skole;82;80;2,2%;3,4;4,1
2019/20;EL;Totalt;Sande videregående skole;46;46;3,4%;4,4;10,0
2019/20;EL;Totalt;Sandefjord videregående skole;60;48;4,3%;6,4;8,7
2019/20;EL;Totalt;Thor Heyerdahl videregående skole;91;90;1,5%;1,4;6,9
2019/20;HS;Totalt;Holmestrand videregående skole;31;29;5,3%;6,2;19,5
2019/20;HS;Totalt;Horten videregående skole;139;133;4,4%;5,7;13,2
2019/20;HS;Totalt;Nøtterøy videregående skole;138;137;6,8%;9,8;15,7
2019/20;HS;Totalt;Re videregående skole;121;108;2,8%;3,7;8,4
2019/20;HS;Totalt;Sande videregående skole;66;62;5,3%;8,0;10,6
2019/20;HS;Totalt;Sandefjord videregående skole;242;227;5,3%;6,9;15,9
2019/20;HS;Totalt;Thor Heyerdahl videregående skole;147;132;4,2%;5,7;11,1
2019/20;ID;Totalt;Horten videregående skole;84;84;3,4%;3,3;15,9
2019/20;ID;Totalt;Re videregående skole;150;146;2,4%;2,7;9,5
2019/20;ID;Totalt;Sande videregående skole;66;66;3,9%;4,6;14,1
2019/20;ID;Totalt;Sandefjord videregående skole;92;91;2,4%;2,7;9,1
2019/20;ID;Totalt;Thor Heyerdahl videregående skole;177;176;2,7%;2,3;14,9
2019/20;KD;Totalt;Færder videregående skole;73;71;3,9%;5,0;11,9
2019/20;KD;Totalt;Sandefjord videregående skole;61;56;5,9%;7,0;21,0
2019/20;MD;Totalt;Greveskogen videregående skole;84;83;3,9%;3,9;17,5
2019/20;MD;Totalt;Sandefjord videregående skole;121;119;2,5%;1,9;14,8
2019/20;MD;Totalt;Thor Heyerdahl videregående skole;72;69;3,8%;4,3;14,6
2019/20;ME;Totalt;Holmestrand videregående skole;29;17;3,7%;5,1;9,8
2019/20;ME;Totalt;Horten videregående skole;84;81;3,9%;4,7;13,2
2019/20;ME;Totalt;Melsom videregående skole;45;42;8,2%;11,5;20,4
2019/20;ME;Totalt;Sande videregående skole;48;48;6,9%;9,4;18,6
2019/20;ME;Totalt;Thor Heyerdahl videregående skole;89;79;3,6%;3,4;17,8
2019/20;NA;Totalt;Melsom videregående skole;83;80;5,6%;6,6;20,2
2019/20;PB;Totalt;Færder videregående skole;160;146;5,5%;5,7;13,5
2019/20;PB;Totalt;Greveskogen videregående skole;10;10;5,2%;4,1;11,9
2019/20;PB;Totalt;Holmestrand videregående skole;20;19;9,1%;11,2;30,5
2019/20;PB;Totalt;Horten videregående skole;43;41;8,6%;12,4;19,1
2019/20;PB;Totalt;Nøtterøy videregående skole;15;15;3,8%;3,9;16,6
2019/20;PB;Totalt;Re videregående skole;35;32;4,1%;5,8;9,5
2019/20;PB;Totalt;Sande videregående skole;28;28;6,2%;6,3;24,7
2019/20;PB;Totalt;Sandefjord videregående skole;72;70;4,7%;5,5;11,5
2019/20;PB;Totalt;Thor Heyerdahl videregående skole;67;60;4,6%;4,6;21,5
2019/20;RM;Totalt;Greveskogen videregående skole;48;42;5,1%;7,3;12,0
2019/20;RM;Totalt;Holmestrand videregående skole;14;12;5,0%;6,2;16,3
2019/20;RM;Totalt;Sandefjord videregående skole;46;38;6,3%;8,9;15,3
2019/20;RM;Totalt;Thor Heyerdahl videregående skole;32;29;4,0%;5,4;10,7
2019/20;SS;Totalt;Greveskogen videregående skole;133;125;10,8%;9,8;53,8
2019/20;SS;Totalt;Horten videregående skole;59;54;5,1%;5,8;19,0
2019/20;SS;Totalt;Sandefjord videregående skole;194;182;5,9%;7,5;18,6
2019/20;SS;Totalt;Thor Heyerdahl videregående skole;78;73;5,8%;8,0;14,6
2019/20;ST;Totalt;Greveskogen videregående skole;549;520;5,1%;5,1;20,3
2019/20;ST;Totalt;Holmestrand videregående skole;114;110;2,8%;3,6;7,4
2019/20;ST;Totalt;Horten videregående skole;441;436;3,2%;3,9;9,3
2019/20;ST;Totalt;Melsom videregående skole;37;35;4,8%;4,5;20,5
2019/20;ST;Totalt;Nøtterøy videregående skole;354;342;4,0%;4,1;15,1
2019/20;ST;Totalt;Re videregående skole;313;302;3,8%;4,3;13,0
2019/20;ST;Totalt;Sande videregående skole;144;141;3,3%;4,0;9,6
2019/20;ST;Totalt;Sandefjord videregående skole;831;819;4,4%;5,1;14,4
2019/20;ST;Totalt;Thor Heyerdahl videregående skole;445;434;2,5%;2,1;11,4
2019/20;TP;Totalt;Færder videregående skole;154;140;2,8%;3,3;10,3
2019/20;TP;Totalt;Holmestrand videregående skole;15;15;4,2%;4,4;18,5
2019/20;TP;Totalt;Horten videregående skole;29;27;3,1%;4,6;6,6
2019/20;TP;Totalt;Sande videregående skole;25;25;5,0%;8,0;6,8
2019/20;TP;Totalt;Sandefjord videregående skole;85;75;6,3%;8,3;18,1
2019/20;TP;Totalt;Thor Heyerdahl videregående skole;103;95;2,8%;2,7;12,7
2018/19;BA;Totalt;Færder videregående skole;112;110;3,3%;4,2;10,5
2018/19;BA;Totalt;Re videregående skole;120;107;3,6%;3,9;14,5
2018/19;BA;Totalt;Thor Heyerdahl videregående skole;100;98;4,1%;4,4;17,5
2018/19;DH;Totalt;Færder videregående skole;35;32;6,5%;8,0;22,0
2018/19;DH;Totalt;Horten videregående skole;55;48;7,7%;10,9;18,8
2018/19;DH;Totalt;Sandefjord videregående skole;60;54;7,5%;8,3;30,4
2018/19;EL;Totalt;Færder videregående skole;112;109;2,5%;3,0;8,7
2018/19;EL;Totalt;Horten videregående skole;90;84;4,1%;5,9;9,1
2018/19;EL;Totalt;Sande videregående skole;46;46;7,2%;10,0;18,5
2018/19;EL;Totalt;Sandefjord videregående skole;59;57;3,0%;3,6;10,3
2018/19;EL;Totalt;Thor Heyerdahl videregående skole;91;87;1,8%;1,8;8,2
2018/19;HS;Totalt;Holmestrand videregående skole;28;28;9,9%;12,8;30,1
2018/19;HS;Totalt;Horten videregående skole;130;120;8,4%;11,8;20,9
2018/19;HS;Totalt;Nøtterøy videregående skole;130;126;6,7%;8,9;19,1
2018/19;HS;Totalt;Re videregående skole;122;117;5,0%;6,3;15,8
2018/19;HS;Totalt;Sande videregående skole;64;64;9,1%;12,6;23,2
2018/19;HS;Totalt;Sandefjord videregående skole;237;228;7,4%;9,4;23,5
2018/19;HS;Totalt;Thor Heyerdahl videregående skole;155;147;4,3%;5,7;12,3
2018/19;ID;Totalt;Horten videregående skole;73;71;4,7%;4,6;22,0
2018/19;ID;Totalt;Re videregående skole;155;148;4,0%;4,7;14,9
2018/19;ID;Totalt;Sande videregående skole;69;69;7,6%;8,1;32,1
2018/19;ID;Totalt;Sandefjord videregående skole;97;96;4,4%;5,1;16,4
2018/19;ID;Totalt;Thor Heyerdahl videregående skole;177;175;3,9%;3,6;19,1
2018/19;KD;Totalt;Færder videregående skole;73;72;4,5%;5,6;15,0
2018/19;KD;Totalt;Sandefjord videregående skole;65;64;8,7%;9,5;35,6
2018/19;MD;Totalt;Greveskogen videregående skole;90;90;7,7%;7,4;36,2
2018/19;MD;Totalt;Sandefjord videregående skole;133;126;4,7%;4,0;24,9
2018/19;MD;Totalt;Thor Heyerdahl videregående skole;76;71;4,9%;4,7;23,6
2018/19;ME;Totalt;Holmestrand videregående skole;33;33;9,5%;12,5;27,4
2018/19;ME;Totalt;Horten videregående skole;70;70;5,1%;5,9;19,1
2018/19;ME;Totalt;Melsom videregående skole;66;64;8,9%;11,1;29,0
2018/19;ME;Totalt;Sande videregående skole;46;46;11,5%;13,8;40,5
2018/19;ME;Totalt;Thor Heyerdahl videregående skole;82;77;4,6%;5,1;18,7
2018/19;NA;Totalt;Melsom videregående skole;85;82;7,6%;8,6;29,7
2018/19;PB;Totalt;Eksamenskontoret i Vestfold;1;0;-;-;-
2018/19;PB;Totalt;Færder videregående skole;164;159;6,0%;6,7;13,8
2018/19;PB;Totalt;Greveskogen videregående skole;15;15;2,7%;1,7;8,6
2018/19;PB;Totalt;Holmestrand videregående skole;24;20;15,1%;19,6;46,0
2018/19;PB;Totalt;Horten videregående skole;28;25;7,5%;9,6;22,8
2018/19;PB;Totalt;Nøtterøy videregående skole;15;14;4,4%;5,5;14,0
2018/19;PB;Totalt;Re videregående skole;21;21;4,9%;6,0;15,9
2018/19;PB;Totalt;Sande videregående skole;20;19;10,0%;9,9;42,9
2018/19;PB;Totalt;Sandefjord videregående skole;74;72;6,7%;7,8;21,0
2018/19;PB;Totalt;Thor Heyerdahl videregående skole;64;55;6,9%;9,1;18,6
2018/19;RM;Totalt;Greveskogen videregående skole;50;45;6,7%;9,4;16,5
2018/19;RM;Totalt;Holmestrand videregående skole;14;13;6,2%;9,3;12,3
2018/19;RM;Totalt;Sandefjord videregående skole;38;36;5,8%;8,4;12,7
2018/19;RM;Totalt;Thor Heyerdahl videregående skole;33;30;5,8%;8,5;11,9
2018/19;SS;Totalt;Greveskogen videregående skole;73;68;11,0%;12,6;42,0
2018/19;SS;Totalt;Horten videregående skole;59;56;8,6%;10,1;30,9
2018/19;SS;Totalt;Sandefjord videregående skole;163;148;8,1%;10,2;25,9
2018/19;SS;Totalt;Thor Heyerdahl videregående skole;92;88;5,6%;6,8;19,1
