Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;TP;vg1;Vestfold;244;223;9,00 %;7,9;46,4
2023/24;TP;vg1;Færder videregående skole;79;74;6,20 %;7,4;22,3
2023/24;TP;vg1;Holmestrand videregående skole;15;13;15,40 %;21,4;38,6
2023/24;TP;vg1;Horten videregående skole;25;23;11,30 %;11;52,7
2023/24;TP;vg1;Sande videregående skole;11;7;14,70 %;21,6;31,1
2023/24;TP;vg1;Sandefjord videregående skole;60;55;11,70 %;6,7;79,5
2023/24;TP;vg1;Thor Heyerdahl videregående skole;54;51;6,50 %;3,2;47,2
2023/24;TP;vg2;Vestfold;222;213;6,50 %;6,6;28,8
2023/24;TP;vg2;Færder videregående skole;89;84;5,80 %;8,6;11,7
2023/24;TP;vg2;Horten videregående skole;14;14;11,00 %;1,1;102,3
2023/24;TP;vg2;Sande videregående skole;19;18;9,20 %;10,1;36,8
2023/24;TP;vg2;Sandefjord videregående skole;47;45;7,80 %;5,9;46,1
2023/24;TP;vg2;Thor Heyerdahl videregående skole;53;52;4,30 %;4,3;19
2023/24;TP;vg3;Vestfold;1;0;0,00 %;0;0
2023/24;TP;vg3;Eksamenskontoret i Vestfold;1;0;0,00 %;0;0
2023/24;FD;Totalt;Eksamenskontoret i Vestfold;1;0;0,00 %;0;0
2023/24;TP;Totalt;Eksamenskontoret i Vestfold;1;0;0,00 %;0;0
2023/24;BA;Totalt;Færder videregående skole;132;126;6,30 %;8,2;18,4
2023/24;EL;Totalt;Færder videregående skole;127;126;5,00 %;6,6;14,1
2023/24;KD;Totalt;Færder videregående skole;110;106;7,60 %;9,7;23,9
2023/24;PB;Totalt;Færder videregående skole;131;122;8,00 %;9;18,7
2023/24;TP;Totalt;Færder videregående skole;168;158;6,00 %;8;16,7
2023/24;IM;Totalt;Greveskogen videregående skole;63;62;6,80 %;6,8;31
2023/24;MD;Totalt;Greveskogen videregående skole;75;69;10,60 %;11,5;43,1
2023/24;RM;Totalt;Greveskogen videregående skole;64;59;8,70 %;10;32,9
2023/24;SR;Totalt;Greveskogen videregående skole;76;68;11,60 %;11,1;55,9
2023/24;ST;Totalt;Greveskogen videregående skole;547;545;8,70 %;8,5;34,6
2023/24;HS;Totalt;Holmestrand videregående skole;31;29;13,80 %;16,3;50,1
2023/24;PB;Totalt;Holmestrand videregående skole;38;36;15,10 %;18,3;38,3
2023/24;RM;Totalt;Holmestrand videregående skole;12;9;9,90 %;0,3;95,7
2023/24;ST;Totalt;Holmestrand videregående skole;123;120;8,90 %;9,7;31,2
2023/24;TP;Totalt;Holmestrand videregående skole;15;13;15,40 %;21,4;38,6
2023/24;EL;Totalt;Horten videregående skole;80;79;4,40 %;5,8;12,7
2023/24;FD;Totalt;Horten videregående skole;45;36;14,20 %;19;39,3
2023/24;HS;Totalt;Horten videregående skole;135;132;9,90 %;12,7;30,1
2023/24;ID;Totalt;Horten videregående skole;90;89;6,50 %;6,1;31,7
2023/24;IM;Totalt;Horten videregående skole;31;29;6,50 %;9,1;15,9
2023/24;ME;Totalt;Horten videregående skole;76;73;9,40 %;11,9;29,4
2023/24;PB;Totalt;Horten videregående skole;57;57;8,50 %;9,9;32,1
2023/24;SR;Totalt;Horten videregående skole;36;34;13,40 %;5;105,6
2023/24;ST;Totalt;Horten videregående skole;437;433;7,00 %;8,1;22,7
2023/24;TP;Totalt;Horten videregående skole;39;37;11,20 %;7,3;71,4
2023/24;ME;Totalt;Melsom videregående skole;26;24;12,60 %;18,8;25,4
2023/24;NA;Totalt;Melsom videregående skole;77;76;7,20 %;8,2;27,9
2023/24;PB;Totalt;Melsom videregående skole;28;26;6,80 %;7;21,2
2023/24;ST;Totalt;Melsom videregående skole;33;32;12,80 %;14,8;40,7
2023/24;HS;Totalt;Nøtterøy videregående skole;109;98;9,60 %;12,1;31,3
2023/24;PB;Totalt;Nøtterøy videregående skole;14;14;9,00 %;11,7;26,9
2023/24;ST;Totalt;Nøtterøy videregående skole;453;444;8,20 %;8;33,6
2023/24;BA;Totalt;Re videregående skole;153;142;4,40 %;3,6;24,4
2023/24;HS;Totalt;Re videregående skole;138;136;7,90 %;10,3;23,7
2023/24;ID;Totalt;Re videregående skole;174;172;4,70 %;4,4;23
2023/24;PB;Totalt;Re videregående skole;31;30;5,40 %;7,7;12,3
2023/24;ST;Totalt;Re videregående skole;285;282;6,90 %;7,1;26,3
2023/24;EL;Totalt;Sande videregående skole;45;44;6,00 %;7,1;21,4
2023/24;HS;Totalt;Sande videregående skole;57;50;9,50 %;13,4;23,4
2023/24;ID;Totalt;Sande videregående skole;63;60;8,90 %;10;34,6
2023/24;ME;Totalt;Sande videregående skole;7;7;7,90 %;11;20,1
2023/24;PB;Totalt;Sande videregående skole;27;27;9,50 %;11,5;32,9
2023/24;ST;Totalt;Sande videregående skole;133;130;8,00 %;9,8;22,7
2023/24;TP;Totalt;Sande videregående skole;30;25;10,70 %;13,3;35,2
2023/24;EL;Totalt;Sandefjord videregående skole;61;61;4,30 %;5,9;11,4
2023/24;FD;Totalt;Sandefjord videregående skole;107;94;10,60 %;10,8;47
2023/24;HS;Totalt;Sandefjord videregående skole;225;207;12,40 %;14,2;47
2023/24;ID;Totalt;Sandefjord videregående skole;93;93;4,80 %;5,1;20,5
2023/24;IM;Totalt;Sandefjord videregående skole;60;59;5,60 %;5,4;26,5
2023/24;KD;Totalt;Sandefjord videregående skole;83;78;11,80 %;13,1;46,9
2023/24;MD;Totalt;Sandefjord videregående skole;125;122;6,20 %;4,2;38,5
2023/24;PB;Totalt;Sandefjord videregående skole;78;75;12,30 %;11,6;53,3
2023/24;RM;Totalt;Sandefjord videregående skole;32;31;9,20 %;11;31,9
2023/24;SR;Totalt;Sandefjord videregående skole;151;143;6,80 %;5,3;38,9
2023/24;ST;Totalt;Sandefjord videregående skole;805;792;7,40 %;7,4;29,4
2023/24;TP;Totalt;Sandefjord videregående skole;107;100;10,00 %;6,3;64,5
2023/24;BA;Totalt;Thor Heyerdahl videregående skole;101;91;8,00 %;11;21
2023/24;EL;Totalt;Thor Heyerdahl videregående skole;95;93;4,60 %;4,7;20,3
2023/24;HS;Totalt;Thor Heyerdahl videregående skole;118;116;6,90 %;9,5;18
2023/24;ID;Totalt;Thor Heyerdahl videregående skole;175;174;5,80 %;5;30,8
2023/24;MD;Totalt;Thor Heyerdahl videregående skole;69;68;7,00 %;6,9;32,3
2023/24;ME;Totalt;Thor Heyerdahl videregående skole;65;63;7,30 %;7,4;32
2023/24;PB;Totalt;Thor Heyerdahl videregående skole;64;61;15,00 %;15,7;64,5
2023/24;RM;Totalt;Thor Heyerdahl videregående skole;31;25;10,20 %;16,2;14,8
2023/24;SR;Totalt;Thor Heyerdahl videregående skole;87;84;7,90 %;9;30,5
2023/24;ST;Totalt;Thor Heyerdahl videregående skole;460;457;6,20 %;5,1;29,2
2023/24;TP;Totalt;Thor Heyerdahl videregående skole;107;103;5,40 %;3,8;33
2023/24;Alle utdanningsprogram;Totalt;Eksamenskontoret i Vestfold;2;0;0,00 %;0;0
2023/24;Alle utdanningsprogram;Totalt;Færder videregående skole;668;638;6,50 %;8,2;18,1
2023/24;Alle utdanningsprogram;Totalt;Greveskogen videregående skole;825;803;8,90 %;9;36,8
2023/24;Alle utdanningsprogram;Totalt;Holmestrand videregående skole;219;207;11,10 %;12,4;38,3
2023/24;Alle utdanningsprogram;Totalt;Horten videregående skole;1 026;999;8,00 %;9;29,7
2023/24;Alle utdanningsprogram;Totalt;Melsom videregående skole;164;158;9,10 %;10,9;29
2023/24;Alle utdanningsprogram;Totalt;Nøtterøy videregående skole;576;556;8,50 %;8,8;33
2023/24;Alle utdanningsprogram;Totalt;Re videregående skole;781;762;6,10 %;6,4;24,2
2023/24;Alle utdanningsprogram;Totalt;Sande videregående skole;362;343;8,40 %;10,4;26,4
2023/24;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 927;1 855;8,30 %;8,1;36,1
