Karaktertype;Skoleår;EnhetNivaa;Vurderingsfagkode;Vurderingsfagnavn;Fylke;EnhetNavn;Karakterer;Antall elever
Skriftlig;2024-25;1;MAT1117;Matematikk 1P-Y HS;Alle fylker;Alle skoler;2,8;376
Skriftlig;2024-25;1;MAT1121;Matematikk 1P-Y IM;Alle fylker;Alle skoler;3,3;58
Skriftlig;2024-25;1;MAT1123;Matematikk 1P-Y NA;Alle fylker;Alle skoler;3;63
Skriftlig;2024-25;1;MAT1125;Matematikk 1P-Y RM;Alle fylker;Alle skoler;2,7;82
Skriftlig;2024-25;1;MAT1127;Matematikk 1P-Y SR;Alle fylker;Alle skoler;2,5;136
Skriftlig;2024-25;1;MAT1129;Matematikk 1P-Y TP;Alle fylker;Alle skoler;2,7;349
Skriftlig;2024-25;1;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Alle fylker;Alle skoler;3,7;32 205
Skriftlig;2024-25;1;REA3058;Matematikk R2;Alle fylker;Alle skoler;3,5;3 317
Skriftlig;2024-25;2;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Alle skoler;4;169
Skriftlig;2024-25;2;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Alle skoler;3,4;119
Skriftlig;2024-25;2;MAT1023;Matematikk 2P;Vestfold;Alle skoler;3;305
Skriftlig;2024-25;2;MAT1111;Matematikk 1P-Y BA;Vestfold;Alle skoler;2;6
Skriftlig;2024-25;2;MAT1113;Matematikk 1P-Y EL;Vestfold;Alle skoler;4,2;11
Skriftlig;2024-25;2;MAT1117;Matematikk 1P-Y HS;Vestfold;Alle skoler;2,5;31
Skriftlig;2024-25;2;MAT1121;Matematikk 1P-Y IM;Vestfold;Alle skoler;3,5;13
Skriftlig;2024-25;2;MAT1127;Matematikk 1P-Y SR;Vestfold;Alle skoler;2,3;6
Skriftlig;2024-25;2;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Alle skoler;3,6;1 538
Skriftlig;2024-25;2;REA3058;Matematikk R2;Vestfold;Alle skoler;3,8;132
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Færder videregående skole;4,1;8
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Greveskogen videregående skole;3,7;18
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Holmestrand videregående skole;3,6;9
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Horten videregående skole;4,3;30
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Nøtterøy videregående skole;4,4;13
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Re videregående skole;3,6;11
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Sandefjord videregående skole;4,4;22
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Skagerak International School Sti;4,7;10
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Thor Heyerdahl videregående skole;3,5;34
Skriftlig;2024-25;3;ENG1007;Engelsk vg1 studieforberedende utdanningsprogram;Vestfold;Wang Tønsberg AS;4,5;6
Skriftlig;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Færder videregående skole;3,6;37
Skriftlig;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Greveskogen videregående skole;2,7;6
Skriftlig;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Horten videregående skole;3,6;16
Skriftlig;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Nøtterøy videregående skole;3,8;8
Skriftlig;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Re videregående skole;2,7;7
Skriftlig;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Sandefjord videregående skole;3,3;24
Skriftlig;2024-25;3;ENG1009;Engelsk vg1 yrkesfaglige utdanningsprogram;Vestfold;Thor Heyerdahl videregående skole;3,1;14
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Greveskogen videregående skole;2,8;46
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Horten videregående skole;3,1;32
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Nøtterøy videregående skole;3,5;23
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Re videregående skole;3,5;39
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Sande videregående skole;3,3;18
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Sandefjord videregående skole;3;82
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Thor Heyerdahl videregående skole;2,8;47
Skriftlig;2024-25;3;MAT1023;Matematikk 2P;Vestfold;Wang Tønsberg AS;3,7;7
Skriftlig;2024-25;3;MAT1111;Matematikk 1P-Y BA;Vestfold;Re videregående skole;2;6
Skriftlig;2024-25;3;MAT1113;Matematikk 1P-Y EL;Vestfold;Sandefjord videregående skole;4,2;11
Skriftlig;2024-25;3;MAT1117;Matematikk 1P-Y HS;Vestfold;Re videregående skole;3,1;15
Skriftlig;2024-25;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Greveskogen videregående skole;3,6;7
Skriftlig;2024-25;3;MAT1121;Matematikk 1P-Y IM;Vestfold;Sandefjord videregående skole;3,3;6
Skriftlig;2024-25;3;MAT1127;Matematikk 1P-Y SR;Vestfold;Sandefjord videregående skole;2,3;6
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Færder videregående skole;3,7;39
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Greveskogen videregående skole;3,5;194
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Holmestrand videregående skole;3,2;26
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Horten videregående skole;3,5;200
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Melsom videregående skole;3,8;13
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Nøtterøy videregående skole;4;166
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Re videregående skole;3,5;166
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Sande videregående skole;3,4;64
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Sandefjord videregående skole;3,6;365
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Thor Heyerdahl videregående skole;3,6;241
Skriftlig;2024-25;3;NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Vestfold;Wang Tønsberg AS;4;64
Skriftlig;2024-25;3;REA3058;Matematikk R2;Vestfold;Greveskogen videregående skole;4;27
Skriftlig;2024-25;3;REA3058;Matematikk R2;Vestfold;Horten videregående skole;4,1;38
Skriftlig;2024-25;3;REA3058;Matematikk R2;Vestfold;Re videregående skole;2,4;8
Skriftlig;2024-25;3;REA3058;Matematikk R2;Vestfold;Sandefjord videregående skole;3,5;17
Skriftlig;2024-25;3;REA3058;Matematikk R2;Vestfold;Thor Heyerdahl videregående skole;4;20
Skriftlig;2024-25;3;REA3058;Matematikk R2;Vestfold;Wang Tønsberg AS;3,3;14
