Skoleår;Fylke;Kommune;Grunnskole;Antall elever med gsp>0;Grunnskolepoeng
2017;Vestfold;SANDEFJORD;Sandefjord;634;41,3
2017;Vestfold;SANDEFJORD;Andebu ungdomsskole;65;40,8
2017;Vestfold;SANDEFJORD;Breidablikk ungdomsskole;144;41,4
2017;Vestfold;SANDEFJORD;Bugården ungdomsskole;97;41,0
2017;Vestfold;SANDEFJORD;Moe skole;12;46,2
2017;Vestfold;SANDEFJORD;Mokollen skole;10;43,4
2017;Vestfold;SANDEFJORD;Ranvik ungdomsskole;129;41,6
2017;Vestfold;SANDEFJORD;Sandefjord voksenopplæring;5;32,7
2017;Vestfold;SANDEFJORD;Stokke ungdomsskole;91;40,4
2017;Vestfold;SANDEFJORD;Varden ungdomsskole;81;42,3
2017;Vestfold;TØNSBERG;Tønsberg;560;40,3
2017;Vestfold;TØNSBERG;Byskogen Kombinerte skole;110;38,3
2017;Vestfold;TØNSBERG;Elihu Kristne grunnskole;6;43,5
2017;Vestfold;TØNSBERG;Granly skole;33;42,6
2017;Vestfold;TØNSBERG;Kongseik ungdomsskole;78;38,7
2017;Vestfold;TØNSBERG;Presterød ungdomsskole;122;43,0
2017;Vestfold;TØNSBERG;Revetal ungdomsskole;84;39,8
2017;Vestfold;TØNSBERG;Ringshaug ungdomsskole;67;41,6
2017;Vestfold;TØNSBERG;Tønsberg kommune læringssenter;16;27,7
2017;Vestfold;TØNSBERG;Tønsberg Montessori skole;13;40,3
2017;Vestfold;TØNSBERG;Vear Kombinerte skole;31;42,8
