Skoleår;Utdanningsprogram;Nivå;Skole;Antall elever 2023/24;Elevgrunnlag for totalfravær 2023/24;Totalfravær (%) i 2023/24;Antall fraværsdager i 2023/24;Antall fraværtimer i 2023/24
2023/24;Alle utdanningsprogram;Totalt;Sandefjord videregående skole;1 927;1 855;8,3%;8,1;36,1
2023/24;Alle utdanningsprogram;Totalt;Thor Heyerdahl videregående skole;1 372;1 335;6,8%;6,9;29,2
2023/24;Alle utdanningsprogram;vg1;Vestfold;3 067;2 915;7,4%;8,1;28,4
2023/24;Alle utdanningsprogram;vg1;Færder videregående skole;250;237;6,0%;7,9;17,6
2023/24;Alle utdanningsprogram;vg1;Greveskogen videregående skole;341;325;7,8%;8,1;31,4
2023/24;Alle utdanningsprogram;vg1;Holmestrand videregående skole;84;76;11,3%;11,4;47,6
2023/24;Alle utdanningsprogram;vg1;Horten videregående skole;407;390;6,9%;7,9;25,1
2023/24;Alle utdanningsprogram;vg1;Melsom videregående skole;71;69;9,9%;12,4;29,9
2023/24;Alle utdanningsprogram;vg1;Nøtterøy videregående skole;196;185;8,1%;9,2;27,8
2023/24;Alle utdanningsprogram;vg1;Re videregående skole;299;289;6,4%;7,4;22,9
2023/24;Alle utdanningsprogram;vg1;Sande videregående skole;157;143;8,6%;10,9;26,1
2023/24;Alle utdanningsprogram;vg1;Sandefjord videregående skole;707;667;7,6%;7,7;33,6
2023/24;Alle utdanningsprogram;vg1;Thor Heyerdahl videregående skole;555;534;6,7%;7,0;27,9
2023/24;Alle utdanningsprogram;vg2;Vestfold;2 773;2 698;7,8%;7,9;32,8
2023/24;Alle utdanningsprogram;vg2;Færder videregående skole;240;232;6,1%;8,2;17,2
2023/24;Alle utdanningsprogram;vg2;Greveskogen videregående skole;290;285;9,5%;8,6;43,6
2023/24;Alle utdanningsprogram;vg2;Holmestrand videregående skole;43;41;9,7%;11,0;34,2
2023/24;Alle utdanningsprogram;vg2;Horten videregående skole;351;344;9,5%;10,3;37,6
2023/24;Alle utdanningsprogram;vg2;Melsom videregående skole;48;48;8,9%;10,1;32,6
2023/24;Alle utdanningsprogram;vg2;Nøtterøy videregående skole;208;202;8,9%;8,6;37,1
2023/24;Alle utdanningsprogram;vg2;Re videregående skole;276;269;5,6%;5,1;27,1
2023/24;Alle utdanningsprogram;vg2;Sande videregående skole;114;111;7,2%;8,5;25,1
2023/24;Alle utdanningsprogram;vg2;Sandefjord videregående skole;692;667;8,4%;7,8;39,4
2023/24;Alle utdanningsprogram;vg2;Thor Heyerdahl videregående skole;511;499;6,2%;6,6;24,7
2023/24;Alle utdanningsprogram;vg3;Vestfold;2 082;2 043;8,4%;9,0;31,3
2023/24;Alle utdanningsprogram;vg3;Eksamenskontoret i Vestfold;2;0;0,0%;0,0;0,0
2023/24;Alle utdanningsprogram;vg3;Færder videregående skole;178;169;7,6%;8,8;20,0
2023/24;Alle utdanningsprogram;vg3;Greveskogen videregående skole;194;193;10,0%;11,1;35,6
2023/24;Alle utdanningsprogram;vg3;Holmestrand videregående skole;92;90;11,6%;13,9;32,4
2023/24;Alle utdanningsprogram;vg3;Horten videregående skole;268;265;7,7%;9,0;26,3
2023/24;Alle utdanningsprogram;vg3;Melsom videregående skole;45;41;8,1%;9,5;23,4
2023/24;Alle utdanningsprogram;vg3;Nøtterøy videregående skole;172;169;8,6%;8,6;33,8
2023/24;Alle utdanningsprogram;vg3;Re videregående skole;206;204;6,2%;6,9;22,2
2023/24;Alle utdanningsprogram;vg3;Sande videregående skole;91;89;9,6%;12,2;28,5
2023/24;Alle utdanningsprogram;vg3;Sandefjord videregående skole;528;521;8,8%;9,1;35,0
2023/24;Alle utdanningsprogram;vg3;Thor Heyerdahl videregående skole;306;302;8,0%;7,1;39,1
