Geografi;År;Kjønn;Alder;Utdanningsnivå;andel (prosent);FLAGG
Vestfold;2014;kjønn samlet;75 år +;grunnskole;33.7891052286152;
Vestfold;2014;menn;25 år +;grunnskole;21.4932069985461;
Vestfold;2014;menn;25-29 år;grunnskole;31.1228334589299;
Vestfold;2014;menn;30-39 år;grunnskole;21.8111618111618;
Vestfold;2014;menn;40-44 år;grunnskole;17.0783847980998;
Vestfold;2014;menn;45-74 år;grunnskole;19.9698550724638;
Vestfold;2014;menn;75 år +;grunnskole;26.1713975281815;
Vestfold;2014;kvinner;25 år +;grunnskole;23.2709956916614;
Vestfold;2014;kvinner;25-29 år;grunnskole;23.6174763214177;
Vestfold;2014;kvinner;30-39 år;grunnskole;17.8172443425952;
Vestfold;2014;kvinner;40-44 år;grunnskole;15.0220211879538;
Vestfold;2014;kvinner;45-74 år;grunnskole;22.6392775085876;
Vestfold;2014;kvinner;75 år +;grunnskole;38.925006867503;
Vestfold;2015;kjønn samlet;25 år +;grunnskole;22.2031925607425;
Vestfold;2015;kjønn samlet;25-29 år;grunnskole;28.1688051620559;
Vestfold;2015;kjønn samlet;30-39 år;grunnskole;20.5086599174574;
Vestfold;2015;kjønn samlet;40-44 år;grunnskole;15.432024892293;
Vestfold;2015;kjønn samlet;45-74 år;grunnskole;20.9115856757276;
Vestfold;2015;kjønn samlet;75 år +;grunnskole;32.6214628937533;
Vestfold;2015;menn;25 år +;grunnskole;21.5164870436897;
Vestfold;2015;menn;25-29 år;grunnskole;31.4214827787507;
Vestfold;2015;menn;30-39 år;grunnskole;22.9430600027844;
Vestfold;2015;menn;40-44 år;grunnskole;16.3712574850299;
Vestfold;2015;menn;45-74 år;grunnskole;19.8467887189075;
Vestfold;2015;menn;75 år +;grunnskole;25.1914444151043;
Vestfold;2015;kvinner;25 år +;grunnskole;22.8589955199246;
Vestfold;2015;kvinner;25-29 år;grunnskole;24.8077213090032;
Vestfold;2015;kvinner;30-39 år;grunnskole;18.0075806336265;
Vestfold;2015;kvinner;40-44 år;grunnskole;14.494140157857;
Vestfold;2015;kvinner;45-74 år;grunnskole;21.9566774078052;
Vestfold;2015;kvinner;75 år +;grunnskole;37.6658300466117;
Vestfold;2016;kjønn samlet;25 år +;grunnskole;21.9190823128197;
Vestfold;2016;kjønn samlet;25-29 år;grunnskole;27.815157116451;
Vestfold;2016;kjønn samlet;30-39 år;grunnskole;21.2778634515632;
Vestfold;2016;kjønn samlet;40-44 år;grunnskole;14.9600048848996;
Vestfold;2016;kjønn samlet;45-74 år;grunnskole;20.5407618015068;
Vestfold;2016;kjønn samlet;75 år +;grunnskole;31.2893497698535;
Vestfold;2016;menn;25 år +;grunnskole;21.4735224528624;
Vestfold;2016;menn;25-29 år;grunnskole;31.1004784688995;
Vestfold;2016;menn;30-39 år;grunnskole;24.118584193392;
Vestfold;2016;menn;40-44 år;grunnskole;15.7184894556155;
Vestfold;2016;menn;45-74 år;grunnskole;19.7195364312351;
Vestfold;2016;menn;75 år +;grunnskole;24.1808055951302;
Vestfold;2016;kvinner;25 år +;grunnskole;22.3452153221668;
Vestfold;2016;kvinner;25-29 år;grunnskole;24.3964996982499;
Vestfold;2016;kvinner;30-39 år;grunnskole;18.3682156793189;
Vestfold;2016;kvinner;40-44 år;grunnskole;14.2075173336577;
Vestfold;2016;kvinner;45-74 år;grunnskole;21.3471320820909;
Vestfold;2016;kvinner;75 år +;grunnskole;36.1985688729875;
Vestfold;2017;kjønn samlet;25 år +;grunnskole;21.8305925790919;
Vestfold;2017;kjønn samlet;25-29 år;grunnskole;28.0175830510917;
Vestfold;2017;kjønn samlet;30-39 år;grunnskole;22.4209650582363;
Vestfold;2017;kjønn samlet;40-44 år;grunnskole;15.0270474273494;
Vestfold;2017;kjønn samlet;45-74 år;grunnskole;20.2125928738001;
Vestfold;2017;kjønn samlet;75 år +;grunnskole;29.8458664175619;
Vestfold;2017;menn;25 år +;grunnskole;21.5276693373053;
Vestfold;2017;menn;25-29 år;grunnskole;31.3612785644189;
Vestfold;2017;menn;30-39 år;grunnskole;25.6382102662641;
Vestfold;2017;menn;40-44 år;grunnskole;15.3797388107012;
Vestfold;2017;menn;45-74 år;grunnskole;19.4379391100703;
Vestfold;2017;menn;75 år +;grunnskole;23.2747804265998;
Vestfold;2017;kvinner;25 år +;grunnskole;22.1210097194712;
Vestfold;2017;kvinner;25-29 år;grunnskole;24.4810201660736;
Vestfold;2017;kvinner;30-39 år;grunnskole;19.1370131689549;
Vestfold;2017;kvinner;40-44 år;grunnskole;14.6798152540257;
Vestfold;2017;kvinner;45-74 år;grunnskole;20.973637810175;
Vestfold;2017;kvinner;75 år +;grunnskole;34.4809275157094;
Vestfold;2018;kjønn samlet;25 år +;grunnskole;21.5955137061849;
Vestfold;2018;kjønn samlet;25-29 år;grunnskole;27.9066447791021;
Vestfold;2018;kjønn samlet;30-39 år;grunnskole;22.4622547844842;
Vestfold;2018;kjønn samlet;40-44 år;grunnskole;16.0088691796009;
Vestfold;2018;kjønn samlet;45-74 år;grunnskole;19.8751589905835;
Vestfold;2018;kjønn samlet;75 år +;grunnskole;28.4706001827968;
Vestfold;2018;menn;25 år +;grunnskole;21.4538566270053;
Vestfold;2018;menn;25-29 år;grunnskole;31.2154696132597;
Vestfold;2018;menn;30-39 år;grunnskole;25.6589199810285;
Vestfold;2018;menn;40-44 år;grunnskole;17.1655154771041;
Vestfold;2018;menn;45-74 år;grunnskole;19.2086253369272;
Vestfold;2018;menn;75 år +;grunnskole;22.0476248035779;
Vestfold;2018;kvinner;25 år +;grunnskole;21.7318009408495;
Vestfold;2018;kvinner;25-29 år;grunnskole;24.368630926008;
Vestfold;2018;kvinner;30-39 år;grunnskole;19.19723183391;
Vestfold;2018;kvinner;40-44 år;grunnskole;14.873854650433;
Vestfold;2018;kvinner;45-74 år;grunnskole;20.5302644964395;
Vestfold;2018;kvinner;75 år +;grunnskole;33.1231941161019;
Vestfold;2019;kjønn samlet;25 år +;grunnskole;21.240334090544;
Vestfold;2019;kjønn samlet;25-29 år;grunnskole;27.2733833718245;
Vestfold;2019;kjønn samlet;30-39 år;grunnskole;22.3689989526673;
Vestfold;2019;kjønn samlet;40-44 år;grunnskole;17.1560753068175;
Vestfold;2019;kjønn samlet;45-74 år;grunnskole;19.4110126060632;
Vestfold;2019;kjønn samlet;75 år +;grunnskole;27.0308191010692;
Vestfold;2019;menn;25 år +;grunnskole;21.269088317424;
Vestfold;2019;menn;25-29 år;grunnskole;30.3345828127169;
Vestfold;2019;menn;30-39 år;grunnskole;25.7896145610278;
Vestfold;2019;menn;40-44 år;grunnskole;18.5965814162704;
Vestfold;2019;menn;45-74 år;grunnskole;18.9268792419004;
Vestfold;2019;menn;75 år +;grunnskole;21.0060179402748;
Vestfold;2019;kvinner;25 år +;grunnskole;21.2125993125599;
Vestfold;2019;kvinner;25-29 år;grunnskole;23.9591161881858;
Vestfold;2019;kvinner;30-39 år;grunnskole;18.8809280109178;
Vestfold;2019;kvinner;40-44 år;grunnskole;15.715754304806;
Vestfold;2019;kvinner;45-74 år;grunnskole;19.8857334198355;
