År;Utdanningsprogram;Spoersmaalgruppekode;Spoersmaalkode;SvaralternativKode;Avgiver_Fylkenavn;Spoersmaalgruppe;Spoersmaalnavn;SvaralternativNavn;Antall;Verdi
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;78;18,5
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;0;*
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;9;*
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;*;*
2023-24;Naturbruk;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;*;*
2023-24;Restaurant- og matfag;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;404;77
2023-24;Restaurant- og matfag;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;*;*
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;25;4,8
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;140;26,7
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;285;54,4
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;74;14,1
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;*;*
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;*;*
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;*;*
2023-24;Restaurant- og matfag;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;*;*
2023-24;Salg, service og reiseliv;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;519;85,6
2023-24;Salg, service og reiseliv;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;36;*
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;35;5,8
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;46;7,6
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;451;74,7
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Hele landet;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;72;11,9
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;1;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg1;*;*
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;2;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Ja, kun på Vg2;1;2,4
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;3;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Både på Vg1 og Vg2;33;78,6
2023-24;Salg, service og reiseliv;LLUIndeks_1;LLUSpoersmaal_Q10902;4;Vestfold;Yrkesfaglig fordypning (YFF);Var du utplassert i praksis i bedrift i faget yrkesfaglig fordypning (YFF) på Vg1 og/eller Vg2?;Nei;*;*
2023-24;Teknologi- og industrifag;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Hele landet;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;2 182;84,6
2023-24;Teknologi- og industrifag;LLUIndeks_5;LLUSpoersmaal_Q10705;5;Vestfold;Trygt miljø;Er du blitt mobbet på arbeidsplassen de siste månedene?;Ikke i det hele tatt;106;73,6
